Date,Open,High,Low,Close,Adj Close,Volume
2022-10-12,55.910000,58.220001,55.250000,57.950001,52.584488,898800
2022-10-13,57.509998,60.180000,57.230000,60.169998,54.598938,965700
2022-10-14,60.160000,61.779999,59.340000,59.650002,54.127087,704800
2022-10-17,59.950001,61.110001,59.799999,60.639999,55.025421,673100
2022-10-18,60.799999,61.490002,58.770000,59.610001,54.090790,1386900
2022-10-19,59.310001,60.770000,59.119999,60.680000,55.061722,851300
2022-10-20,60.799999,60.980000,58.849998,59.279999,53.791344,642800
2022-10-21,59.119999,59.959999,58.560001,58.689999,53.255970,663300
2022-10-24,59.160000,59.650002,58.529999,58.689999,53.255970,751900
2022-10-25,57.560001,59.349998,56.500000,59.320000,54.621510,1123200
2022-10-26,59.660000,60.270000,58.580002,58.630001,53.986164,1082700
2022-10-27,58.799999,58.799999,55.900002,56.070000,51.628929,1175800
2022-10-28,56.299999,57.470001,55.869999,56.869999,52.365562,893400
2022-10-31,57.029999,57.340000,56.040001,56.509998,52.034077,711000
2022-11-01,56.459999,58.200001,56.000000,57.259998,52.724674,1198400
2022-11-02,56.930000,57.880001,56.330002,57.259998,52.724674,643600
2022-11-03,56.970001,58.430000,56.730000,57.939999,53.350811,1023400
2022-11-04,57.939999,58.340000,56.450001,57.480000,52.927250,470700
2022-11-07,57.720001,59.799999,57.720001,59.200001,54.511017,1082800
2022-11-08,59.430000,59.959999,58.790001,59.660000,54.934582,763800
2022-11-09,59.189999,59.450001,57.730000,58.000000,53.406063,626800
2022-11-10,58.730000,58.950001,56.750000,57.380001,52.835171,777900
2022-11-11,57.200001,57.209999,52.700001,53.810001,49.547935,1138400
2022-11-14,53.570000,54.580002,52.970001,52.970001,48.774471,734500
2022-11-15,53.320000,54.090000,52.310001,53.610001,49.363777,826100
2022-11-16,54.009998,54.419998,53.580002,53.799999,49.538727,674100
2022-11-17,53.360001,53.630001,52.540001,53.220001,49.004665,639900
2022-11-18,53.560001,54.049999,53.180000,53.450001,49.216450,766400
2022-11-21,53.650002,57.049999,53.439999,56.410000,51.941998,1078400
2022-11-22,56.419998,57.779999,56.029999,56.980000,52.466850,769900
2022-11-23,57.220001,57.220001,56.529999,56.880001,52.374771,697900
2022-11-25,56.880001,57.849998,56.580002,57.849998,53.267941,213800
2022-11-28,57.849998,58.169998,56.450001,56.939999,52.430019,487200
2022-11-29,57.009998,57.570000,56.610001,57.509998,52.954872,405500
2022-11-30,57.700001,58.560001,57.099998,58.279999,53.663883,624100
2022-12-01,58.599998,59.220001,57.830002,58.130001,53.525768,472400
2022-12-02,57.830002,59.439999,57.500000,59.290001,54.593887,551200
2022-12-05,59.500000,60.009998,58.209999,58.950001,54.280819,663400
2022-12-06,58.830002,59.869999,58.740002,59.070000,54.391312,550300
2022-12-07,59.369999,60.009998,59.020000,59.360001,54.658340,581700
2022-12-08,59.310001,59.310001,58.150002,59.080002,54.400520,534700
2022-12-09,59.180000,59.419998,58.090000,58.160000,53.553387,361700
2022-12-12,58.459999,58.730000,55.950001,58.439999,53.811211,751100
2022-12-13,58.540001,59.360001,56.599998,57.259998,52.724674,972700
2022-12-14,57.090000,57.849998,56.450001,56.930000,52.420815,641700
2022-12-15,56.980000,59.110001,56.779999,58.279999,53.663883,1344600
2022-12-16,58.160000,60.320000,57.759998,60.029999,55.275272,3146300
2022-12-19,60.029999,61.389999,58.380001,61.080002,56.242107,1241200
2022-12-20,61.139999,62.560001,60.810001,62.189999,57.264187,1180900
2022-12-21,62.509998,63.610001,61.560001,62.580002,57.623302,1004900
2022-12-22,62.619999,63.270000,61.630001,63.080002,58.083698,963300
2022-12-23,63.500000,64.779999,63.009998,64.629997,59.510925,754500
2022-12-27,65.000000,65.320000,63.720001,63.779999,58.728252,1122400
2022-12-28,63.860001,64.440002,62.080002,62.189999,57.264187,1343600
2022-12-29,59.509998,59.990002,52.279999,53.169998,48.958622,6089600
2022-12-30,53.330002,55.200001,52.560001,54.450001,50.137241,1797900
2023-01-03,54.720001,56.180000,53.860001,55.490002,51.094872,1453100
2023-01-04,55.500000,57.770000,55.310001,57.230000,52.697052,1387200
2023-01-05,57.200001,57.759998,55.669998,55.860001,51.435566,1208700
2023-01-06,56.060001,56.470001,54.529999,54.950001,50.597637,1026600
2023-01-09,55.290001,55.869999,52.380001,52.660000,48.489021,1607700
2023-01-10,53.119999,54.299999,52.709999,53.610001,49.363777,1004200
2023-01-11,53.840000,54.070000,52.230000,52.500000,48.341690,1082200
2023-01-12,52.830002,54.880001,52.259998,54.740002,50.404274,1154700
2023-01-13,54.630001,55.270000,53.980000,54.099998,49.814964,563700
2023-01-17,54.549999,56.389999,54.529999,56.360001,51.895958,821800
2023-01-18,56.480000,56.560001,54.919998,55.340000,50.956749,859100
2023-01-19,55.540001,56.380001,55.110001,55.720001,51.306652,819900
2023-01-20,56.139999,56.430000,54.130001,54.669998,50.339813,1061000
2023-01-23,54.700001,55.709999,54.619999,54.919998,50.570011,1083400
2023-01-24,53.700001,54.529999,53.009998,53.730000,50.722000,839900
2023-01-25,53.889999,54.090000,52.810001,53.990002,50.967449,883900
